CHILD;PARENT
S01EB01;S01EB
S01EB;S01E
R06AD02;R06AD
R06AB54;R06AB
R06AB;R06A
R03BB04;R03BB
R03BB;R03B
R03AC12;R03AC
R03AC;R03A
R03CC03;R03CC
R03CC;R03C
R03C;R03
R03CC02;R03CC
R03AK07;R03AK
R03AK;R03A
R02AB01;R02AB
R02AB;R02A
R02A;R02
R02;R
J05AR04;J05AR
J05AR03;J05AR
J05AF05;J05AF
J05AF02;J05AF
J05AF01;J05AF
J05AE08;J05AE
J05AE03;J05AE
J05AD01;J05AD
J05AD;J05A
J04BA02;J04BA
J04BA;J04B
J04B;J04
J04AB04;J04AB
J04AB;J04A
J04AB02;J04AB
J02AC04;J02AC
J01MA12;J01MA
J01MA;J01M
J01M;J01
J01MA02;J01MA
J01GB05;J01GB
J01GB;J01G
J01G;J01
J01DH04;J01DH
J01DH;J01D
J01DD02;J01DD
J01DB05;J01DB
J01DB;J01D
J01CF04;J01CF
J01CF01;J01CF
J01CA20;J01CA
J01CA;J01C
J01CA12;J01CA
J01FA01;J01FA
J01FA;J01F
J01F;J01
J01EC20;J01EC
J01EC;J01E
R01BA02;R01BA
R01BA;R01B
R01B;R01
J05AX09;J05AX
J05AX;J05A
J05AR02;J05AR
J05AE04;J05AE
J04AB30;J04AB
J01XX05;J01XX
J01XB02;J01XB
J01MA14;J01MA
J01FF01;J01FF
J01FF;J01F
J01EA01;J01EA
J01EA;J01E
J01DC01;J01DC
J01CR01;J01CR
J01CG01;J01CG
J01CE09;J01CE
J01CE;J01C
J01CE08;J01CE
J01AA02;J01AA
J01AA;J01A
J01A;J01
J01AA01;J01AA
H05AA02;H05AA
H05AA;H05A
H05A;H05
H03BB02;H03BB
H03BB;H03B
H03B;H03
H03;H
H03BA02;H03BA
H03BA;H03B
H03AA03;H03AA
H03AA;H03A
H03A;H03
H02AB01;H02AB
G04BX13;G04BX
G04BE03;G04BE
G04BE;G04B
G03DA03;G03DA
G03DA;G03D
G03D;G03
G03;G
G03AC05;G03AC
G03AC;G03A
G03A;G03
G03AC03;G03AC
H03BX02;H03BX
H03BX;H03B
H03AA01;H03AA
H02AA02;H02AA
H02AA;H02A
H01CB02;H01CB
H01CB;H01C
H01C;H01
H01;H
H01BB02;H01BB
H01BB;H01B
H01B;H01
G03XC01;G03XC
G03XC;G03X
G03X;G03
G03CA57;G03CA
G03CA;G03C
G03C;G03
G03CA03;G03CA
G02AD02;G02AD
G02AD;G02A
G02A;G02
G02;G
G01AF02;G01AF
G01AF;G01A
G01A;G01
G01;G
G01AD02;G01AD
G01AD;G01A
D07XB02;D07XB
D07XB;D07X
D07X;D07
D07;D
D;ROOT
D07AB30;D07AB
D07AB;D07A
D07A;D07
D06AX07;D06AX
D06AX;D06A
D06A;D06
D06;D
D04AB07;D04AB
D04AB;D04A
D04A;D04
D04;D
D01AC02;D01AC
D01AC;D01A
D01A;D01
D01;D
D01AA20;D01AA
D01AA;D01A
D01AA01;D01AA
D10AD01;D10AD
D10AD;D10A
D10A;D10
D10;D
D08AG02;D08AG
D08AG;D08A
D08A;D08
D08;D
G04CA01;G04CA
G04CA;G04C
G04C;G04
G04BD10;G04BD
G04BD;G04B
G01AG02;G01AG
G01AG;G01A
G01AF20;G01AF
D10BA01;D10BA
D10BA;D10B
D10B;D10
D08AG01;D08AG
D08AE03;D08AE
D08AE;D08A
D07XC01;D07XC
D07XC;D07X
D07AC16;D07AC
D07AC;D07A
D07AC10;D07AC
C10AB05;C10AB
C10AB;C10A
C10A;C10
C10;C
C10AB04;C10AB
C09CA06;C09CA
C09CA;C09C
C09C;C09
C09;C
C09AA09;C09AA
C09AA;C09A
C09A;C09
C07AG02;C07AG
C07AG;C07A
C07A;C07
C07;C
C07AB05;C07AB
C07AB;C07A
C07AB04;C07AB
C07AA07;C07AA
C07AA;C07A
C05BB56;C05BB
C05BB;C05B
C05B;C05
C05;C
C05AX03;C05AX
C05AX;C05A
C05A;C05
C05AE01;C05AE
C05AE;C05A
C04AB01;C04AB
C04AB;C04A
C04A;C04
C04;C
C03EA01;C03EA
C03EA;C03E
C03E;C03
C03;C
C03DA01;C03DA
C03DA;C03D
C03D;C03
C03CA04;C03CA
C03CA;C03C
C03C;C03
H03AA05;H03AA
G04CB02;G04CB
G04CB;G04C
G04BE01;G04BE
G04BD09;G04BD
G04BD07;G04BD
G04BD04;G04BD
G03DC02;G03DC
G03DC;G03D
G03DA02;G03DA
G02AD04;G02AD
D11AC06;D11AC
D11AC;D11A
D11A;D11
D11;D
G02CB01;G02CB
G02CB;G02C
G02C;G02
G01AF01;G01AF
G01AE10;G01AE
G01AE;G01A
D11AX18;D11AX
D11AX;D11A
D11AX10;D11AX
D11AC30;D11AC
D10AX01;D10AX
D10AX;D10A
D07AC08;D07AC
D06BB03;D06BB
D06BB;D06B
D06B;D06
D06AX09;D06AX
D06AX05;D06AX
D05AX52;D05AX
D05AX;D05A
D05A;D05
D05;D
D01AE20;D01AE
D01AE;D01A
C10AA07;C10AA
C10AA;C10A
C10AA05;C10AA
C10AA02;C10AA
C09CA08;C09CA
C08DB01;C08DB
C08DB;C08D
C08D;C08
C07AB11;C07AB
C05AD07;C05AD
C05AD;C05A
C05AA10;C05AA
C05AA;C05A
C05AA01;C05AA
C04AD03;C04AD
C04AD;C04A
D01AE13;D01AE
D01AE02;D01AE
C10AX06;C10AX
C10AX;C10A
C10AA01;C10AA
C09CA07;C09CA
C09CA01;C09CA
C09AA13;C09AA
C08CA03;C08CA
C07AG01;C07AG
C07AB09;C07AB
C07AB03;C07AB
C07AB02;C07AB
C07AA03;C07AA
C05BB04;C05BB
C03AX01;C03AX
C03AX;C03A
C03A;C03
L01BC05;L01BC
L01BC;L01B
L01B;L01
L01BB07;L01BB
L01BB;L01B
L01AD01;L01AD
L01AD;L01A
L01A;L01
L01AA06;L01AA
L01AA;L01A
L01AA03;L01AA
J07AL02;J07AL
J07AL;J07A
J07AH08;J07AH
J06BA01;J06BA
J06BA;J06B
J06B;J06
J06;J
J07BF03;J07BF
J07BF;J07B
J07B;J07
J07BD52;J07BD
J07BD;J07B
J07BC01;J07BC
J07BC;J07B
L01BB02;L01BB
L01AX04;L01AX
L01AX;L01A
L01AD04;L01AD
J06BB16;J06BB
J06BB;J06B
B06AA03;B06AA
B06AA;B06A
B05XX02;B05XX
B05XX;B05X
B05X;B05
B05;B
B05CA10;B05CA
B05CA;B05C
B05C;B05
B05BA01;B05BA
B05BA;B05B
B05B;B05
B03BB51;B03BB
B03BB;B03B
B03B;B03
B03;B
B02BD08;B02BD
B02BD04;B02BD
B01AE07;B01AE
B01AE;B01A
B01AC16;B01AC
B01AC07;B01AC
B01AC04;B01AC
A12CC04;A12CC
A12CC;A12C
A12C;A12
A12;A
A12BA01;A12BA
A12BA;A12B
A12B;A12
A11CC04;A11CC
A11CC;A11C
A11C;A11
A11;A
B05AA07;B05AA
B05AA;B05A
B05A;B05
B03BA02;B03BA
B03BA;B03B
B03AE10;B03AE
B03AE;B03A
B03A;B03
B02BD03;B02BD
B02BC30;B02BC
B02BC;B02B
B02BA01;B02BA
B02BA;B02B
B02AA02;B02AA
B02AA;B02A
B02A;B02
B01AE06;B01AE
B01AE02;B01AE
B01AD12;B01AD
B01AD;B01A
B01AC21;B01AC
B01AC11;B01AC
B01AB04;B01AB
B01AB;B01A
B01AA03;B01AA
B01AA;B01A
A12AA20;A12AA
A12AA;A12A
A12A;A12
A12AA09;A12AA
