clinical_drug_form,ingredient
1856275,5224
373015,134527
1857598,5224
373859,36387
801480,10962
370578,723
373860,36387
371616,2670
1872383,236719
1799415,57308
1870402,8591
1860131,8591
477321,337525
1665000,35827
385063,236719
385024,236719
379056,51428
876077,8591
1861723,8591
1863604,9863
1304126,1303851
374108,10502
373901,9863
375661,9863
801480,9863
1794561,9863
806391,9863
800975,9863
2108443,9863
801450,9863
374551,9863
876077,9863
1861723,9863
1873468,8928
1665056,11170
377660,2623
377400,10627
757058,153970
370575,722
378214,153970
2108548,10627
854976,854962
1658469,854962
1721611,1306286
373594,8698
1656312,2186
995191,6972
376515,6972
1657774,1535922
370725,28031
1729199,3829
375197,32624
379140,1520
377369,2129
371065,1520
374368,1808
1724783,1815
371158,1808
374502,3339
1663181,56946
800984,6579
370505,149
374488,7812
727559,321208
371895,3498
371891,3498
377967,1514
800363,6536
378340,1514
1870185,267366
374197,10767
1653759,4177
1664433,42316
374015,42316
1855529,261435
1722933,29561
577347,596205
562789,32937
377535,3289
378354,42347
1656629,117055
371940,3554
1658124,26744
1740921,6883
1656683,83929
372240,4496
371962,3638
372239,4496
1812623,9800
1720752,253453
376154,5833
372213,4452
727547,4496
1102272,1102270
1805957,7407
727620,7980
371661,21949
375074,41127
374473,281
372255,41127
1807458,3322
371164,1827
374104,10485
370537,281
377143,281
1987401,1987398
1868493,4917
1726497,1251
2108557,343048
371070,83008
374526,8536
375450,8536
373769,9260
374686,8536
370503,190521
370502,190521
806391,56466
577211,190548
374813,190521
1804798,8410
1720877,5880
372533,6135
377349,1399
2055759,2055755
371327,25033
374187,10753
376515,8091
406309,10975
800363,55018
1657394,798302
371389,2356
806592,798302
801480,55018
829970,798302
746190,1347
1649943,68442
702116,620
825420,711942
727534,68442
1732880,236381
375348,42954
379111,14845
616491,35829
372002,3752
370640,10763
1804730,15202
1657572,1298944
1657463,798306
1657394,798306
373639,8761
377233,1156
829970,798306
376888,72962
374433,38685
1656270,354770
371602,2626
374662,5542
1741260,24909
374813,11413
1867714,10368
901639,798220
379136,58939
374072,10432
1659130,8339
1655947,591781
1656981,37418
2105810,2105806
376410,725
1651244,75917
378856,725
374050,10379
1804980,1543543
1658469,854964
1148140,1148138
1728091,805452
374679,283809
378723,134615
371067,19257
1666592,7476
377440,60207
643104,475342
372614,29046
1657702,263034
377124,26237
1728058,34132
1743862,3628
378762,1819
377402,7623
371161,1819
377450,7623
374233,10829
375982,10829
1658469,854950
376542,10600
597143,10600
373518,54987
374710,9796
377452,10600
484332,108118
1869383,54987
402366,358262
379060,68149
373881,9796
746202,10759
800363,1091
374434,10759
370568,703
370573,17767
371002,17767
10760,10759
377781,10759
374426,25126
373773,9344
371345,2231
371346,2231
372221,25126
373226,7895
374415,2685
616278,357977
372775,6760
374649,115698
373575,8638
377270,8727
238142,1886
374020,10324
1721309,4450
1729397,1886
1727275,115698
373616,8727
1729388,1886
374003,10237
393416,10324
373972,8638
372053,1886
374131,10594
377369,10890
1870350,4550
377650,2582
1737230,2582
372861,6901
372035,4018
800562,5340
374643,85762
371334,20489
371250,194000
801480,5340
800975,5340
597729,85762
373795,85762
854976,854974
370658,5552
1718938,2191
372319,25789
374409,8687
373456,8331
378768,352374
372575,6313
1489770,19831
371152,19831
374173,10689
371606,2653
377444,3001
757041,5489
800562,6308
371663,3001
377514,10223
901639,901633
372581,42955
370645,5492
370649,5492
373747,72143
375450,5492
372421,5492
829986,763098
1724329,384455
376335,282388
829970,763098
377423,10803
402354,301542
1425103,1425099
372184,24947
371254,1998
562743,4778
372267,4530
1716194,1716191
376656,6902
372804,6809
668362,4337
1806273,4337
373701,8987
700516,6809
373453,8328
1037044,1037042
1304557,22701
1737342,6387
371753,3288
1792943,6387
597290,276237
1867937,6387
376410,3288
378856,3288
385105,3743
377959,3355
723847,40575
1734678,3966
2371799,11246
375137,6387
1356556,1356552
373966,10156
372398,27084
1736775,32592
1747293,5640
370672,5640
370674,5640
1806052,4083
1658469,854954
376861,10493
2201634,1841
854976,854956
798241,798222
374422,4457
706867,18631
373605,8704
1668237,18631
1670191,8308
1738341,19666
1870358,221147
727624,8308
379046,236782
1928566,34322
370724,33910
373173,7781
2053498,2053495
377747,1388
377341,4141
373644,8785
1731088,3100
1657394,798304
806592,798304
374570,8163
377743,8686
374138,10612
401651,21183
829970,798304
371663,8163
1729187,4099
372836,6851
373168,7779
371965,3640
1737465,73137
1740871,7243
371407,2393
1657394,763100
1866542,7238
2282756,763100
1657443,797635
373325,8134
376830,8570
1657991,60819
578017,19737
374677,1223
1806004,616739
435437,8134
373560,42463
374214,10811
373759,73044
1659772,614391
798241,798224
374093,10454
1304126,1303855
1919087,1919083
1792779,1792776
372222,4462
2371799,10454
1304557,10454
451309,35619
371589,2353
373974,10169
377509,36345
1736918,73710
2108354,337623
377789,33199
379243,50610
373088,7426
373087,7426
373658,8794
374080,10438
1870244,1596450
1870228,1596450
374233,10180
1293734,21579
1870216,1596450
378308,38400
800562,10337
373193,32675
1656055,1656052
1658469,854938
374067,37935
1726203,5690
1739748,1739745
854976,854936
1657443,797633
1658469,854936
1657137,1657128
378648,17128
759470,69722
1665101,2189
371267,2019
1868504,10865
485439,461016
1658225,314725
378857,1605101
800562,70602
377627,1952
1100456,684879
1726270,337523
1805978,183379
370689,5781
374185,10737
1243342,300195
1306290,300195
1375946,684879
731222,236778
374021,77492
728222,620216
375786,1897
379818,8703
1668263,4053
378984,3264
374635,4815
371728,3264
2103181,11149
374438,3264
378766,3008
1724826,8745
450999,8745
1670052,34822
373740,9068
757261,39085
371215,47613
371099,19478
373789,9386
371649,11248
371650,11248
1791252,23066
1868004,10582
452534,39786
378790,2400
687432,10582
891521,11248
2371799,11248
378682,88249
1304557,11248
1659987,1009
1659758,32915
618512,62427
393308,31555
1597586,1597582
374319,11289
377826,10637
618504,62427
372246,4502
374320,11289
1999006,1999003
371409,2396
372784,52582
1999666,1721603
371410,2396
372785,52582
221024,11423
1304557,237099
1718924,61381
374620,2556
824294,69036
370588,84857
746447,7213
370504,16681
370497,7213
372757,6719
2284636,7213
1665194,139462
373046,53654
1087390,1727875
384613,135391
1666302,4249
406106,139462
376853,78903
371031,18993
800562,11115
370621,83367
901533,746741
370981,1291
372109,4135
371324,2180
854976,854934
370726,6069
405915,60307
802194,82819
901639,798228
1364434,1364430
371364,20610
1722943,325887
854976,854948
854976,854942
446753,31819
1658469,854948
1658469,854966
375061,258494
1729397,70589
1732886,46967
746403,41126
721790,51272
372880,10824
1654076,847083
401651,29155
2108402,25255
370525,167
744485,41126
372361,5032
1427036,864701
1484915,1484911
864780,864701
2108209,237159
371188,36118
1720955,5882
371525,2551
808650,40254
374556,6932
370543,435
377764,6932
1304126,1304122
1428986,1304122
1117521,2709
378384,15996
808586,40254
204674,11256
1867729,40254
850075,28439
2371799,7393
376154,7393
370542,435
2284636,435
1091838,1091836
374376,3639
1741289,828529
1667659,1667655
373787,35623
372591,6373
376031,7299
2101898,56512
370584,733
373022,7299
1117534,9789
378980,75207
378638,59943
376673,733
373056,7405
374401,7597
1721950,1721947
379003,508
244416,7597
801480,56443
1859489,56443
373136,7597
1730075,2403
1653594,475968
1731581,1546438
385024,235496
372665,6572
377749,6572
901639,901631
373010,141366
800363,1901
371189,1894
1116740,1116738
374168,38413
374753,19860
1812332,996051
891521,4511
373977,10171
619044,4511
631980,2449
801450,1901
372554,6185
1806933,1302966
372827,6835
727760,282357
1659591,10167
378726,298869
1656338,69749
800562,8156
374643,195088
372300,4719
1662277,190376
891521,9346
439558,4316
377266,3478
372647,6470
756776,9000
372280,4603
371560,21241
385484,47686
372815,6826
1806068,9639
1651307,120608
1366191,21241
373991,9524
370498,21833
1666612,1292
800363,6033
370985,1292
1307408,1307404
374710,612
800562,6033
373565,8629
867501,714438
829986,763096
378013,6922
2282756,763096
374425,3443
371856,3443
372897,6922
1718759,99
1660184,1606218
371943,82003
1658469,854944
374363,135775
562031,2590
372571,72965
371480,2418
374371,3251
373751,9143
1723231,3251
1740463,26225
373149,26225
1102279,1102261
374146,57258
1806666,44151
1728776,7052
371343,140587
373871,136411
372957,7052
377632,1992
371316,2177
372956,7052
1746526,1311089
1811403,7994
372925,6963
373222,40790
484321,139825
1726672,1622
2108335,7994
617278,73056
483437,187832
372949,7019
1293734,36344
372243,4501
1658017,39385
1665443,2194
1427036,857921
1670194,72236
374524,44
854855,233698
643018,89013
1659782,89013
1743541,7773
374753,1191
373200,7804
238142,1191
370939,1191
800363,4850
800363,4919
374544,6750
1660003,10473
1660013,3992
372326,4850
370834,29170
311514,6750
1792889,6750
800562,8737
800562,4919
1658006,1292422
1861716,4850
377349,6750
377627,6750
374192,5487
370636,5487
498906,11002
665032,593411
486068,11002
374751,161
1591941,1591922
370751,161
1116634,1116632
1988665,1988648
801480,10524
800975,10524
1736464,10109
1657443,797631
1731096,22299
1652238,86009
372375,5093
1719751,15226
1743574,35636
402348,35636
1789973,8787
1657745,1547545
374205,10798
371038,1424
1540861,1540825
763042,3423
370631,5470
385098,214555
377737,114202
1724201,229369
2269593,7242
371257,2002
1654176,658708
378762,7242
597746,495881
371260,2002
374625,39998
1805000,134547
1375946,3642
376493,91311
1659928,7242
372766,6754
1665037,6754
372764,6754
485019,7145
1736469,75635
370622,60212
617301,723
1427036,1427022
384641,4637
370576,723
845506,141704
376464,2062
1428986,1427022
800562,10962
371609,2670
1856278,5224
378966,314684
370751,2670
373524,8591
373520,8591
378914,51428
1719781,70223
876076,8591
377446,35827
806391,8591
1656794,37617
901639,901636
374610,37776
1807545,9863
800363,9863
1718999,12574
377216,224905
373902,9863
1922508,224905
1428986,1303851
373903,9863
373114,7514
373900,9863
373100,7454
372883,6915
378984,10627
374147,10627
798234,798230
373696,8928
2108544,69120
374438,10627
374677,153970
854976,854952
798241,798230
901639,798230
1658469,854952
378855,44281
373012,31565
371665,3007
1812167,3616
1306290,1306286
373780,55672
378299,195085
643065,195085
402754,8031
1791587,5657
374583,32968
375879,6972
371961,49276
702213,3013
378838,214549
800363,9671
373175,32624
800562,9671
1653728,709271
1098901,73
371670,3013
1791492,5650
1727568,1808
377111,56946
1672916,1815
806391,6579
801450,6579
402370,343047
372782,103
1723739,3498
1730193,319864
377135,319864
374614,1514
800562,6536
1658029,830457
801480,6536
377614,1514
393355,1514
379082,42316
370619,1202
