CHILD;PARENT
LP15505-8;LP31689-0
LP31689-0;LP31703-9
LP31703-9;LP31395-4
LP31395-4;LP7786-9
1989-3;LP385191-4
LP385191-4;LP15455-6
LP15455-6;LP64575-1
LP64575-1;LP31696-5
LP31696-5;LP31395-4
2284-8;LP385218-5
LP385218-5;LP15575-1
LP15575-1;LP31701-3
LP31701-3;LP31395-4
1968-7;LP385310-0
LP385310-0;LP15445-7
LP15445-7;LP15448-1
LP15448-1;LP31397-0
LP31397-0;LP7786-9
1971-1;LP385316-7
LP385316-7;LP15449-9
LP15449-9;LP15448-1
1975-2;LP385283-9
LP385283-9;LP15448-1
5818-0;LP385341-5
LP385341-5;LP15942-3
LP15942-3;LP31397-0
12191-3;LP385357-1
LP385357-1;LP14355-9
LP14355-9;LP31398-8
LP31398-8;LP7786-9
2160-0;LP385359-7
LP385359-7;LP14355-9
2161-8;LP385363-9
LP385363-9;LP14355-9
77147-7;LP385393-6
LP385393-6;LP31686-6
LP31686-6;LP69203-5
LP69203-5;LP31398-8
6299-2;LP385453-8
LP385453-8;LP14492-0
LP14492-0;LP31398-8
3094-0;LP385464-5
LP385464-5;LP14492-0
3095-7;LP385466-0
LP385466-0;LP14492-0
2339-0;LP385526-1
LP385526-1;LP14635-4
LP14635-4;LP31399-6
LP31399-6;LP7786-9
2346-5;LP385539-4
LP385539-4;LP14635-4
2345-7;LP385540-2
LP385540-2;LP14635-4
32693-4;LP385561-8
LP385561-8;LP15686-6
LP15686-6;LP31399-6
2518-9;LP385562-6
LP385562-6;LP15686-6
2692-2;LP385919-8
LP385919-8;LP15272-5
LP15272-5;LP31410-1
LP31410-1;LP7786-9
2695-5;LP385922-2
LP385922-2;LP15272-5
33762-6;LP385939-6
LP385939-6;LP31268-3
LP31268-3;LP94520-1
LP94520-1;LP31409-3
LP31409-3;LP7786-9
6598-7;LP385946-1
LP385946-1;LP17145-1
LP17145-1;LP31409-3
1994-3;LP385973-5
LP385973-5;LP15458-0
LP15458-0;LP15257-6
LP15257-6;LP31413-5
LP31413-5;LP7786-9
2000-8;LP385966-9
LP385966-9;LP15257-6
2004-0;LP385970-1
LP385970-1;LP15257-6
2601-3;LP386028-7
LP386028-7;LP14343-5
LP14343-5;LP31413-5
2598-1;LP386032-9
LP386032-9;LP14343-5
2777-1;LP386057-6
LP386057-6;LP14912-7
LP14912-7;LP31413-5
2778-9;LP386061-8
LP386061-8;LP14912-7
2039-6;LP386113-7
LP386113-7;LP28643-2
LP28643-2;LP14650-3
LP14650-3;LP31412-7
LP31412-7;LP7786-9
1834-1;LP384631-0
LP384631-0;LP14331-0
LP14331-0;LP268298-9
LP268298-9;LP31412-7
2857-1;LP386138-4
LP386138-4;LP18193-0
LP18193-0;LP14689-1
LP14689-1;LP31412-7
13965-9;LP386295-2
LP386295-2;LP14977-0
LP14977-0;LP31415-0
LP31415-0;LP7786-9
41276-7;LP386537-7
LP386537-7;LP30809-5
LP30809-5;LP19403-2
LP19403-2;LP7786-9
1863-0;LP386549-2
LP386549-2;LP15392-1
LP15392-1;LP30809-5
1963-8;LP386569-0
LP386569-0;LP15441-6
LP15441-6;LP19403-2
1964-6;LP386570-8
LP386570-8;LP15441-6
2069-3;LP386574-0
LP386574-0;LP15483-8
LP15483-8;LP19403-2
2075-0;LP386588-0
LP386588-0;LP15483-8
2078-4;LP386593-0
LP386593-0;LP15483-8
6298-4;LP386601-1
LP386601-1;LP15098-4
LP15098-4;LP19403-2
2823-3;LP386618-5
LP386618-5;LP15098-4
2828-2;LP386624-3
LP386624-3;LP15098-4
2947-0;LP386631-8
LP386631-8;LP15099-2
LP15099-2;LP19403-2
2951-2;LP386648-2
LP386648-2;LP15099-2
2955-3;LP386653-2
LP386653-2;LP15099-2
2335-8;LP386738-1
LP386738-1;LP15597-5
LP15597-5;LP31419-2
LP31419-2;LP7786-9
24351-9;LP387033-6
LP387033-6;LP14147-0
LP14147-0;LP7834-7
LP7834-7;LP7786-9
1599-0;LP387134-2
LP387134-2;LP14683-4
LP14683-4;LP31660-1
1644-4;LP387154-0
LP387154-0;LP15275-8
LP15275-8;LP15705-4
5567-3;LP387770-3
LP387770-3;LP16798-8
LP16798-8;LP18221-9
LP18221-9;LP7790-1
LP7790-1;LP29693-6
3297-9;LP388579-7
LP388579-7;LP14712-1
LP14712-1;LP37950-0
LP37950-0;LP18046-0
LP18046-0;LP7790-1
4023-8;LP388622-5
LP388622-5;LP16276-5
LP16276-5;LP37950-0
35669-1;LP388863-5
LP388863-5;LP15005-9
LP15005-9;LP31426-7
35668-3;LP388969-0
LP388969-0;LP15747-6
35670-9;LP389051-6
LP389051-6;LP16294-8
20578-1;LP389062-3
LP389062-3;LP16306-0
3982-6;LP389207-4
LP389207-4;LP16261-7
LP16261-7;LP31459-8
LP31459-8;LP31424-2
LP31424-2;LP18046-0
3834-9;LP389212-4
LP389212-4;LP16209-6
LP16209-6;LP16261-7
10535-3;LP389307-2
LP389307-2;LP14714-7
LP14714-7;LP31498-6
LP31498-6;LP31424-2
3349-8;LP389370-0
LP389370-0;LP16034-8
LP16034-8;LP18868-7
LP18868-7;LP31448-1
LP31448-1;LP18046-0
3397-7;LP389691-9
LP389691-9;LP16048-8
LP16048-8;LP31448-1
3773-9;LP389991-3
LP389991-3;LP15015-8
LP15015-8;LP18149-2
LP18149-2;LP31448-1
3879-4;LP390086-9
LP390086-9;LP14565-3
LP14565-3;LP18149-2
10998-3;LP390102-4
LP390102-4;LP15003-4
LP15003-4;LP18149-2
3521-2;LP390577-7
LP390577-7;LP16098-3
LP16098-3;LP31454-9
LP31454-9;LP18046-0
11253-2;LP390596-7
LP390596-7;LP15182-6
LP15182-6;LP31454-9
3376-1;LP390633-8
LP390633-8;LP14546-3
LP14546-3;LP18892-7
LP18892-7;LP31425-9
LP31425-9;LP18046-0
3377-9;LP390635-3
LP390635-3;LP14546-3
3947-9;LP390728-6
LP390728-6;LP14729-5
LP14729-5;LP14546-3
3432-2;LP390763-3
LP390763-3;LP16061-1
LP16061-1;LP18892-7
3969-3;LP390836-7
LP390836-7;LP14731-1
LP14731-1;LP14732-9
LP14732-9;LP18892-7
3967-7;LP390830-0
LP390830-0;LP14732-9
4086-5;LP390867-2
LP390867-2;LP16305-2
LP16305-2;LP18892-7
14836-1;LP390957-1
LP390957-1;LP16198-1
LP16198-1;LP31428-3
LP31428-3;LP18046-0
3719-2;LP390984-5
LP390984-5;LP16175-9
LP16175-9;LP31474-7
LP31474-7;LP31449-9
LP31449-9;LP18046-0
4073-3;LP391137-9
LP391137-9;LP14735-2
LP14735-2;LP18893-5
LP18893-5;LP31449-9
5642-4;LP391422-5
LP391422-5;LP14348-4
LP14348-4;LP31449-9
4049-3;LP391498-5
LP391498-5;LP16288-0
LP16288-0;LP31460-6
LP31460-6;LP31443-2
LP31443-2;LP18046-0
42662-7;LP391602-2
LP391602-2;LP15014-1
LP15014-1;LP30812-9
LP30812-9;LP18046-0
3390-2;LP391611-3
LP391611-3;LP15014-1
4537-7;LP392450-5
LP392450-5;LP16409-2
LP16409-2;LP30786-5
LP30786-5;LP7803-2
LP7803-2;LP29693-6
718-7;LP392452-1
LP392452-1;LP14449-0
LP14449-0;LP30786-5
20570-8;LP392479-4
LP392479-4;LP15101-6
LP15101-6;LP30786-5
4544-3;LP392479-4
70169-8;LP392489-3
LP392489-3;LP15101-6
70168-0;LP392490-1
LP392490-1;LP15101-6
789-8;LP392503-1
LP392503-1;LP14304-7
LP14304-7;LP35614-4
LP35614-4;LP15094-3
LP15094-3;LP19481-8
LP19481-8;LP30786-5
14196-0;LP392535-3
LP392535-3;LP16487-8
LP16487-8;LP14304-7
17849-1;LP392556-9
LP392556-9;LP308202-3
LP308202-3;LP16487-8
772-4;LP392558-5
LP392558-5;LP14464-9
LP14464-9;LP14304-7
70171-4;LP392587-4
LP392587-4;LP308144-7
LP308144-7;LP14464-9
70170-6;LP392588-2
LP392588-2;LP308144-7
62440-3;LP392592-4
LP392592-4;LP308146-2
LP308146-2;LP14464-9
68545-3;LP392594-0
LP392594-0;LP308146-2
26457-2;LP392513-0
LP392513-0;LP14304-7
26456-4;LP392514-8
LP392514-8;LP14304-7
26458-0;LP392517-1
LP392517-1;LP14304-7
30394-1;LP392630-2
LP392630-2;LP18643-4
LP18643-4;LP14419-3
LP14419-3;LP15094-3
766-6;LP392664-1
LP392664-1;LP17593-2
LP17593-2;LP29151-5
LP29151-5;LP14267-6
LP14267-6;LP18643-4
751-8;LP392641-9
LP392641-9;LP14267-6
26510-8;LP392683-1
LP392683-1;LP286644-2
LP286644-2;LP15070-3
LP15070-3;LP14267-6
33361-7;LP392686-4
LP392686-4;LP286644-2
763-3;LP392676-5
LP392676-5;LP15070-3
704-7;LP392736-7
LP392736-7;LP14328-6
LP14328-6;LP18643-4
711-2;LP392778-9
LP392778-9;LP14539-8
LP14539-8;LP18643-4
26452-3;LP392800-1
LP392800-1;LP285961-1
LP285961-1;LP14539-8
30380-0;LP392807-6
LP392807-6;LP285961-1
30379-2;LP392808-4
LP392808-4;LP285961-1
17834-3;LP392811-8
LP392811-8;LP285961-1
28541-1;LP392831-6
LP392831-6;LP286503-0
LP286503-0;LP15075-2
LP15075-2;LP18643-4
17801-2;LP392832-4
LP392832-4;LP286503-0
26498-6;LP392851-4
LP392851-4;LP286593-1
LP286593-1;LP15077-8
LP15077-8;LP18643-4
17800-4;LP392852-2
LP392852-2;LP286593-1
781-5;LP392856-3
LP392856-3;LP15084-4
LP15084-4;LP18643-4
6690-2;LP392599-9
LP392599-9;LP14419-3
804-5;LP392599-9
26473-9;LP392895-1
LP392895-1;LP286361-3
LP286361-3;LP17393-7
LP17393-7;LP14419-3
30409-7;LP392900-9
LP392900-9;LP286361-3
30408-9;LP392901-7
LP392901-7;LP286361-3
30410-5;LP392902-5
LP392902-5;LP286361-3
729-4;LP392883-7
LP392883-7;LP17393-7
731-0;LP392919-9
LP392919-9;LP14540-6
LP14540-6;LP14419-3
733-6;LP392965-2
LP392965-2;LP15072-9
LP15072-9;LP14540-6
26478-8;LP392998-3
LP392998-3;LP286448-8
LP286448-8;LP14540-6
742-7;LP393028-8
LP393028-8;LP14313-8
LP14313-8;LP14312-0
LP14312-0;LP14419-3
12230-9;LP393084-1
LP393084-1;LP286459-5
LP286459-5;LP14314-6
LP14314-6;LP14313-8
40517-5;LP393090-8
LP393090-8;LP286459-5
33376-5;LP393092-4
LP393092-4;LP286459-5
26487-9;LP393097-3
LP393097-3;LP286557-6
LP286557-6;LP14313-8
